sequence,ROVK-RMSE,SG-RMSE,ROVK-MEAN,SG-MEAN,ROVK-STD,SG-STD
rgbd_bonn_crowd,0.0213238,0.0229857,0.0173569,0.0187002,0.0123407,0.0132641
rgbd_bonn_crowd2,0.0380868,0.0561159,0.0298101,0.0477348,0.0236749,0.0294876
rgbd_bonn_crowd3,0.0275653,0.0533188,0.0236963,0.038403,0.013995,0.0369879
rgbd_bonn_moving_nonobstructing_box,0.0380858,0.0258869,0.0190758,0.0204342,0.0329486,0.0153407
rgbd_bonn_moving_nonobstructing_box2,0.0234593,0.0302122,0.0212075,0.0282995,0.0100184,0.0104929
rgbd_bonn_person_tracking,0.0241473,0.0482612,0.0206381,0.0444607,0.0124706,0.0173017
rgbd_bonn_person_tracking2,0.0358161,0.049085,0.0314481,0.0447379,0.0170618,0.0201937
rgbd_bonn_synchronous,0.0055086,0.3183144,0.0050474,0.2986251,0.0021614,0.1080449
rgbd_bonn_synchronous2,0.0075147,0.0173907,0.0063889,0.0157977,0.0039552,0.0072634
rgbd_bonn_balloon,0.0297197,0.0282228,0.0259997,0.0253156,0.0143093,0.0124237
rgbd_bonn_balloon2,0.027474,0.0266121,0.0247551,0.0231441,0.0118973,0.0130845
rgbd_bonn_balloon_tracking,0.0341555,0.0334355,0.0279282,0.0271991,0.0195697,0.0193519
rgbd_bonn_balloon_tracking2,0.0591847,0.0271433,0.0519737,0.0249856,0.0280781,0.0105602
rgbd_bonn_kidnapping_box,0.0207312,0.0266389,0.0187973,0.022813,0.0087316,0.0137332
rgbd_bonn_kidnapping_box2,0.0184528,0.0234895,0.0162874,0.0210791,0.0086334,0.0103602
rgbd_bonn_moving_obstructing_box,0.1477578,0.2107218,0.1241253,0.199061,0.0757749,0.06184
rgbd_bonn_moving_obstructing_box2,0.1915025,0.3157917,0.1694139,0.2939237,0.0886747,0.1154401
rgbd_bonn_placing_nonobstructing_box,0.1631997,0.7115353,0.1553123,0.6870638,0.0501031,0.1848553
rgbd_bonn_placing_nonobstructing_box2,0.0275189,0.0205662,0.0198699,0.0173348,0.0189144,0.0110499
rgbd_bonn_placing_nonobstructing_box3,0.0555856,0.0853912,0.0441036,0.0597049,0.0336506,0.0607191
rgbd_bonn_placing_obstructing_box,0.230998,0.2465647,0.2094433,0.2264735,0.0960787,0.0971726
rgbd_bonn_removing_nonobstructing_box,0.0144566,0.0168843,0.0119091,0.0148784,0.0081002,0.0079602
rgbd_bonn_removing_nonobstructing_box2,0.0225448,0.0198177,0.0195551,0.0176564,0.0111993,0.0089862
rgbd_bonn_removing_obstructing_box,0.1760254,0.3190876,0.158111,0.3074773,0.0768117,0.0852729
rgbd_bonn_static,0.092959,0.1194445,0.0604231,0.1126667,0.0682295,0.0395818
rgbd_bonn_static_close_far,0.0178796,0.0814544,0.0156566,0.0712148,0.0086308,0.039537
