sequence,ROVK,SG,Panoptic,NGD,ROVK_rank,SG_rank,Panoptic_rank,NGD_rank
TUM::rgbd_dataset_freiburg2_desk_with_person,0.0058766,0.00671,0.0121,0.01583,1.0,2.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_sitting_halfsphere,0.013689,0.0186693,0.0153528,0.0163576,1.0,4.0,2.0,3.0
TUM::rgbd_dataset_freiburg3_sitting_rpy,0.0166079,0.0226446,0.0243069,0.0286528,1.0,2.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_sitting_static,0.0063594,0.00877,0.00599,0.00617,3.0,4.0,1.0,2.0
TUM::rgbd_dataset_freiburg3_sitting_xyz,0.0081907,0.01065,0.01189,0.0223,1.0,2.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_walking_halfsphere,0.0213458,0.0308,0.02353,0.02266,1.0,4.0,3.0,2.0
TUM::rgbd_dataset_freiburg3_walking_rpy,0.0261142,0.02647,0.02893,0.04015,1.0,2.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_walking_static,0.0070547,0.00686,0.00998,0.00627,3.0,2.0,4.0,1.0
TUM::rgbd_dataset_freiburg3_walking_xyz,0.0126546,0.01526,0.01269,0.01381,1.0,4.0,2.0,3.0
bonn::rgbd_bonn_balloon,0.0259997,0.0289719,0.0252,0.02621,2.0,4.0,1.0,3.0
bonn::rgbd_bonn_balloon2,0.0247551,0.0259432,0.021405,0.0246758,3.0,4.0,1.0,2.0
bonn::rgbd_bonn_balloon_tracking,0.0279282,0.0326111,0.0284438,0.0298745,1.0,4.0,2.0,3.0
bonn::rgbd_bonn_balloon_tracking2,0.030682,0.0389665,0.02642,0.03379,2.0,4.0,1.0,3.0
bonn::rgbd_bonn_crowd,0.0173569,0.0187002,0.31707,0.01789,1.0,3.0,4.0,2.0
bonn::rgbd_bonn_crowd2,0.0298101,0.0477348,0.60565,0.03583,1.0,3.0,4.0,2.0
bonn::rgbd_bonn_crowd3,0.0236963,0.038403,0.02587,0.0249,1.0,4.0,3.0,2.0
bonn::rgbd_bonn_kidnapping_box,0.0187973,0.022813,0.02732,0.02352,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_kidnapping_box2,0.0162874,0.0210791,0.02142,0.01991,1.0,3.0,4.0,2.0
bonn::rgbd_bonn_moving_nonobstructing_box,0.0190758,0.0204342,0.05068,0.03606,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_moving_nonobstructing_box2,0.0212075,0.0282995,0.03192,0.03095,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_moving_obstructing_box,0.1241253,0.199061,0.37825,0.29274,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_moving_obstructing_box2,0.1694139,0.2939237,0.43079,0.59617,1.0,2.0,3.0,4.0
bonn::rgbd_bonn_person_tracking,0.0206381,0.0444607,0.04153,0.04807,1.0,3.0,2.0,4.0
bonn::rgbd_bonn_person_tracking2,0.0314481,0.0447379,0.04777,0.05921,1.0,2.0,3.0,4.0
bonn::rgbd_bonn_placing_nonobstructing_box,0.1553123,0.6870638,0.69174,0.26503,1.0,3.0,4.0,2.0
bonn::rgbd_bonn_placing_nonobstructing_box2,0.0198699,0.0173348,0.01673,0.02839,3.0,2.0,1.0,4.0
bonn::rgbd_bonn_placing_nonobstructing_box3,0.0441036,0.0597049,0.04452,0.07072,1.0,3.0,2.0,4.0
bonn::rgbd_bonn_placing_obstructing_box,0.2094433,0.2264735,0.21188,0.24544,1.0,3.0,2.0,4.0
bonn::rgbd_bonn_removing_nonobstructing_box,0.0119091,0.0148784,0.01507,0.0134,1.0,3.0,4.0,2.0
bonn::rgbd_bonn_removing_nonobstructing_box2,0.0195551,0.0176564,0.01929,0.01722,4.0,2.0,3.0,1.0
bonn::rgbd_bonn_removing_obstructing_box,0.158111,0.3074773,0.2993,0.1644,1.0,4.0,3.0,2.0
bonn::rgbd_bonn_static_close_far,0.0156566,0.0712148,0.08913,0.07724,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_synchronous2,0.0063889,0.0157977,0.00797,0.00818,1.0,4.0,2.0,3.0
