sequence,ROVK,SG,Panoptic,NGD
TUM::rgbd_dataset_freiburg2_desk_with_person,0.0067041,0.00748,0.0129,0.01656
TUM::rgbd_dataset_freiburg3_sitting_halfsphere,0.0156642,0.0149933,0.0175078,0.0189926
TUM::rgbd_dataset_freiburg3_sitting_rpy,0.0205067,0.014045,0.0350197,0.0465538
TUM::rgbd_dataset_freiburg3_sitting_static,0.0073413,0.00867,0.00698,0.00703
TUM::rgbd_dataset_freiburg3_sitting_xyz,0.0097365,0.01233,0.0133,0.024
TUM::rgbd_dataset_freiburg3_walking_halfsphere,0.0251061,0.03768,0.02693,0.0262
TUM::rgbd_dataset_freiburg3_walking_rpy,0.0324406,0.0332,0.03801,0.06568
TUM::rgbd_dataset_freiburg3_walking_static,0.0090751,0.00808,0.0116,0.00722
TUM::rgbd_dataset_freiburg3_walking_xyz,0.0151955,0.01793,0.01463,0.01594
bonn::rgbd_bonn_balloon,0.0297197,0.0282228,0.02906,0.03003
bonn::rgbd_bonn_balloon2,0.027474,0.0266121,0.0235363,0.0275016
bonn::rgbd_bonn_balloon_tracking,0.0341555,0.0334355,0.0363322,0.0349257
bonn::rgbd_bonn_balloon_tracking2,0.035489,0.0271433,0.0286,0.03701
bonn::rgbd_bonn_crowd,0.0213238,0.0229857,0.34515,0.02386
bonn::rgbd_bonn_crowd2,0.0380868,0.0561159,0.65541,0.04111
bonn::rgbd_bonn_crowd3,0.0275653,0.0533188,0.03348,0.03468
bonn::rgbd_bonn_kidnapping_box,0.0207312,0.0266389,0.03204,0.02767
bonn::rgbd_bonn_kidnapping_box2,0.0184528,0.0234895,0.02407,0.02249
bonn::rgbd_bonn_moving_nonobstructing_box,0.0380858,0.0258869,0.10143,0.03927
bonn::rgbd_bonn_moving_nonobstructing_box2,0.0234593,0.0302122,0.0341,0.03293
bonn::rgbd_bonn_moving_obstructing_box,0.1477578,0.2107218,0.40243,0.31336
bonn::rgbd_bonn_moving_obstructing_box2,0.1915025,0.3157917,0.46741,0.6388
bonn::rgbd_bonn_person_tracking,0.0241473,0.0482612,0.0439,0.04975
bonn::rgbd_bonn_person_tracking2,0.0358161,0.049085,0.05285,0.06425
bonn::rgbd_bonn_placing_nonobstructing_box,0.1631997,0.7115353,0.71445,0.28118
bonn::rgbd_bonn_placing_nonobstructing_box2,0.0275189,0.0205662,0.01966,0.03097
bonn::rgbd_bonn_placing_nonobstructing_box3,0.0555856,0.0853912,0.0751,0.07738
bonn::rgbd_bonn_placing_obstructing_box,0.230998,0.2465647,0.24101,0.26989
bonn::rgbd_bonn_removing_nonobstructing_box,0.0144566,0.0168843,0.01762,0.01506
bonn::rgbd_bonn_removing_nonobstructing_box2,0.0225448,0.0198177,0.02171,0.01947
bonn::rgbd_bonn_removing_obstructing_box,0.1760254,0.3190876,0.3096,0.18585
bonn::rgbd_bonn_static_close_far,0.0178796,0.0814544,0.10081,0.08813
bonn::rgbd_bonn_synchronous2,0.0075147,0.0173907,0.00941,0.00927
