sequence,ROVK,SG,Panoptic,NGD,ROVK_rank,SG_rank,Panoptic_rank,NGD_rank
TUM::rgbd_dataset_freiburg2_desk_with_person,0.0067041,0.00748,0.0129,0.01656,1.0,2.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_sitting_halfsphere,0.0156642,0.02084,0.0175078,0.0189926,1.0,4.0,2.0,3.0
TUM::rgbd_dataset_freiburg3_sitting_rpy,0.0205067,0.02502,0.0350197,0.0465538,1.0,2.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_sitting_static,0.0073413,0.01002,0.00698,0.00703,3.0,4.0,1.0,2.0
TUM::rgbd_dataset_freiburg3_sitting_xyz,0.0097365,0.01233,0.0133,0.024,1.0,2.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_walking_halfsphere,0.0251061,0.03768,0.02693,0.0262,1.0,4.0,3.0,2.0
TUM::rgbd_dataset_freiburg3_walking_rpy,0.0324406,0.0332,0.03801,0.06568,1.0,2.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_walking_static,0.0090751,0.00808,0.0116,0.00722,3.0,2.0,4.0,1.0
TUM::rgbd_dataset_freiburg3_walking_xyz,0.0151955,0.01793,0.01463,0.01594,2.0,4.0,1.0,3.0
bonn::rgbd_bonn_balloon,0.0297197,0.0318969,0.02906,0.03003,2.0,4.0,1.0,3.0
bonn::rgbd_bonn_balloon2,0.027474,0.0303386,0.0235363,0.0275016,2.0,4.0,1.0,3.0
bonn::rgbd_bonn_balloon_tracking,0.0341555,0.0369223,0.0363322,0.0349257,1.0,4.0,3.0,2.0
bonn::rgbd_bonn_balloon_tracking2,0.035489,0.0428188,0.0286,0.03701,2.0,4.0,1.0,3.0
bonn::rgbd_bonn_crowd,0.0213238,0.0229857,0.34515,0.02386,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_crowd2,0.0380868,0.0561159,0.65541,0.04111,1.0,3.0,4.0,2.0
bonn::rgbd_bonn_crowd3,0.0275653,0.0533188,0.03348,0.03468,1.0,4.0,2.0,3.0
bonn::rgbd_bonn_kidnapping_box,0.0207312,0.0266389,0.03204,0.02767,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_kidnapping_box2,0.0184528,0.0234895,0.02407,0.02249,1.0,3.0,4.0,2.0
bonn::rgbd_bonn_moving_nonobstructing_box,0.0380858,0.0258869,0.10143,0.03927,2.0,1.0,4.0,3.0
bonn::rgbd_bonn_moving_nonobstructing_box2,0.0234593,0.0302122,0.0341,0.03293,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_moving_obstructing_box,0.1477578,0.2107218,0.40243,0.31336,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_moving_obstructing_box2,0.1915025,0.3157917,0.46741,0.6388,1.0,2.0,3.0,4.0
bonn::rgbd_bonn_person_tracking,0.0241473,0.0482612,0.0439,0.04975,1.0,3.0,2.0,4.0
bonn::rgbd_bonn_person_tracking2,0.0358161,0.049085,0.05285,0.06425,1.0,2.0,3.0,4.0
bonn::rgbd_bonn_placing_nonobstructing_box,0.1631997,0.7115353,0.71445,0.28118,1.0,3.0,4.0,2.0
bonn::rgbd_bonn_placing_nonobstructing_box2,0.0275189,0.0205662,0.01966,0.03097,3.0,2.0,1.0,4.0
bonn::rgbd_bonn_placing_nonobstructing_box3,0.0555856,0.0853912,0.0751,0.07738,1.0,4.0,2.0,3.0
bonn::rgbd_bonn_placing_obstructing_box,0.230998,0.2465647,0.24101,0.26989,1.0,3.0,2.0,4.0
bonn::rgbd_bonn_removing_nonobstructing_box,0.0144566,0.0168843,0.01762,0.01506,1.0,3.0,4.0,2.0
bonn::rgbd_bonn_removing_nonobstructing_box2,0.0225448,0.0198177,0.02171,0.01947,4.0,2.0,3.0,1.0
bonn::rgbd_bonn_removing_obstructing_box,0.1760254,0.3190876,0.3096,0.18585,1.0,4.0,3.0,2.0
bonn::rgbd_bonn_static_close_far,0.0178796,0.0814544,0.10081,0.08813,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_synchronous2,0.0075147,0.0173907,0.00941,0.00927,1.0,4.0,3.0,2.0
