sequence,ROVK,SG,Panoptic,NGD,ROVK_rank,SG_rank,Panoptic_rank,NGD_rank
TUM::rgbd_dataset_freiburg2_desk_with_person,0.0032213,0.0033,0.00446,0.00485,1.0,2.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_sitting_halfsphere,0.0075986,0.007405,0.0084099,0.0096378,2.0,1.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_sitting_rpy,0.0120047,0.0075195,0.025181,0.0364991,2.0,1.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_sitting_static,0.0036637,0.00455,0.00359,0.00338,3.0,4.0,2.0,1.0
TUM::rgbd_dataset_freiburg3_sitting_xyz,0.0052609,0.00621,0.00596,0.0113,1.0,3.0,2.0,4.0
TUM::rgbd_dataset_freiburg3_walking_halfsphere,0.0131783,0.02145,0.01309,0.01314,3.0,4.0,1.0,2.0
TUM::rgbd_dataset_freiburg3_walking_rpy,0.019247,0.01995,0.02451,0.05122,1.0,2.0,3.0,4.0
TUM::rgbd_dataset_freiburg3_walking_static,0.0056306,0.00423,0.00578,0.00356,3.0,2.0,4.0,1.0
TUM::rgbd_dataset_freiburg3_walking_xyz,0.0084075,0.00942,0.00728,0.00794,3.0,4.0,1.0,2.0
bonn::rgbd_bonn_balloon,0.0143093,0.0124237,0.01447,0.01465,2.0,1.0,3.0,4.0
bonn::rgbd_bonn_balloon2,0.0118973,0.0130845,0.0097809,0.0120488,2.0,4.0,1.0,3.0
bonn::rgbd_bonn_balloon_tracking,0.0195697,0.0193519,0.0225425,0.0180868,3.0,2.0,4.0,1.0
bonn::rgbd_bonn_balloon_tracking2,0.0176615,0.0105602,0.01092,0.01507,4.0,1.0,2.0,3.0
bonn::rgbd_bonn_crowd,0.0123407,0.0132641,0.11803,0.01554,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_crowd2,0.0236749,0.0294876,0.25047,0.02015,2.0,3.0,4.0,1.0
bonn::rgbd_bonn_crowd3,0.013995,0.0369879,0.02093,0.02395,1.0,4.0,2.0,3.0
bonn::rgbd_bonn_kidnapping_box,0.0087316,0.0137332,0.01674,0.01458,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_kidnapping_box2,0.0086334,0.0103602,0.01098,0.01045,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_moving_nonobstructing_box,0.0329486,0.0153407,0.08435,0.01554,3.0,1.0,4.0,2.0
bonn::rgbd_bonn_moving_nonobstructing_box2,0.0100184,0.0104929,0.01196,0.01118,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_moving_obstructing_box,0.0757749,0.06184,0.13714,0.10683,2.0,1.0,4.0,3.0
bonn::rgbd_bonn_moving_obstructing_box2,0.0886747,0.1154401,0.18134,0.22568,1.0,2.0,3.0,4.0
bonn::rgbd_bonn_person_tracking,0.0124706,0.0173017,0.01419,0.01281,1.0,4.0,3.0,2.0
bonn::rgbd_bonn_person_tracking2,0.0170618,0.0201937,0.02197,0.02345,1.0,2.0,3.0,4.0
bonn::rgbd_bonn_placing_nonobstructing_box,0.0501031,0.1848553,0.17867,0.09391,1.0,4.0,3.0,2.0
bonn::rgbd_bonn_placing_nonobstructing_box2,0.0189144,0.0110499,0.01032,0.01235,4.0,2.0,1.0,3.0
bonn::rgbd_bonn_placing_nonobstructing_box3,0.0336506,0.0607191,0.0604,0.03138,2.0,4.0,3.0,1.0
bonn::rgbd_bonn_placing_obstructing_box,0.0960787,0.0971726,0.11473,0.10852,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_removing_nonobstructing_box,0.0081002,0.0079602,0.00898,0.00686,3.0,2.0,4.0,1.0
bonn::rgbd_bonn_removing_nonobstructing_box2,0.0111993,0.0089862,0.00995,0.00908,4.0,1.0,3.0,2.0
bonn::rgbd_bonn_removing_obstructing_box,0.0768117,0.0852729,0.07906,0.08521,1.0,4.0,2.0,3.0
bonn::rgbd_bonn_static_close_far,0.0086308,0.039537,0.0471,0.04243,1.0,2.0,4.0,3.0
bonn::rgbd_bonn_synchronous2,0.0039552,0.0072634,0.005,0.00434,1.0,4.0,3.0,2.0
