sequence,ROVK-RMSE,NGD-RMSE,ROVK-MEAN,NGD-MEAN,ROVK-STD,NGD-STD
rgbd_bonn_crowd,0.0213238,0.02386,0.0173569,0.01789,0.0123407,0.01554
rgbd_bonn_crowd2,0.0380868,0.04111,0.0298101,0.03583,0.0236749,0.02015
rgbd_bonn_crowd3,0.0275653,0.03468,0.0236963,0.0249,0.013995,0.02395
rgbd_bonn_moving_nonobstructing_box,0.0380858,0.03927,0.0190758,0.03606,0.0329486,0.01554
rgbd_bonn_moving_nonobstructing_box2,0.0234593,0.03293,0.0212075,0.03095,0.0100184,0.01118
rgbd_bonn_person_tracking,0.0241473,0.04975,0.0206381,0.04807,0.0124706,0.01281
rgbd_bonn_person_tracking2,0.0358161,0.06425,0.0314481,0.05921,0.0170618,0.02345
rgbd_bonn_synchronous,0.0055086,0.02619,0.0050474,0.01807,0.0021614,0.01889
rgbd_bonn_synchronous2,0.0075147,0.00927,0.0063889,0.00818,0.0039552,0.00434
rgbd_bonn_balloon,0.0297197,0.03003,0.0259997,0.02621,0.0143093,0.01465
rgbd_bonn_balloon2,0.027474,0.0275016,0.0247551,0.0246758,0.0118973,0.0120488
rgbd_bonn_balloon_tracking,0.0341555,0.0349257,0.0279282,0.0298745,0.0195697,0.0180868
rgbd_bonn_balloon_tracking2,0.035489,0.03701,0.030682,0.03379,0.0176615,0.01507
rgbd_bonn_kidnapping_box,0.0207312,0.02767,0.0187973,0.02352,0.0087316,0.01458
rgbd_bonn_kidnapping_box2,0.0184528,0.02249,0.0162874,0.01991,0.0086334,0.01045
rgbd_bonn_moving_obstructing_box,0.1477578,0.31336,0.1241253,0.29274,0.0757749,0.10683
rgbd_bonn_moving_obstructing_box2,0.1915025,0.6388,0.1694139,0.59617,0.0886747,0.22568
rgbd_bonn_placing_nonobstructing_box,0.1631997,0.28118,0.1553123,0.26503,0.0501031,0.09391
rgbd_bonn_placing_nonobstructing_box2,0.0275189,0.03097,0.0198699,0.02839,0.0189144,0.01235
rgbd_bonn_placing_nonobstructing_box3,0.0555856,0.07738,0.0441036,0.07072,0.0336506,0.03138
rgbd_bonn_placing_obstructing_box,0.230998,0.26989,0.2094433,0.24544,0.0960787,0.10852
rgbd_bonn_removing_nonobstructing_box,0.0144566,0.01506,0.0119091,0.0134,0.0081002,0.00686
rgbd_bonn_removing_nonobstructing_box2,0.0225448,0.01947,0.0195551,0.01722,0.0111993,0.00908
rgbd_bonn_removing_obstructing_box,0.1760254,0.18585,0.158111,0.1644,0.0768117,0.08521
rgbd_bonn_static,0.092959,failed,0.0604231,failed,0.0682295,failed
rgbd_bonn_static_close_far,0.0178796,0.08813,0.0156566,0.07724,0.0086308,0.04243
