sequence,ROVK-RMSE,Panoptic-RMSE,ROVK-MEAN,Panoptic-MEAN,ROVK-STD,Panoptic-STD
rgbd_bonn_crowd,0.0213238,0.34515,0.0173569,0.31707,0.0123407,0.11803
rgbd_bonn_crowd2,0.0380868,0.65541,0.0298101,0.60565,0.0236749,0.25047
rgbd_bonn_crowd3,0.0275653,0.03348,0.0236963,0.02587,0.013995,0.02093
rgbd_bonn_moving_nonobstructing_box,0.0380858,0.10143,0.0190758,0.05068,0.0329486,0.08435
rgbd_bonn_moving_nonobstructing_box2,0.0234593,0.0341,0.0212075,0.03192,0.0100184,0.01196
rgbd_bonn_person_tracking,0.0241473,0.0439,0.0206381,0.04153,0.0124706,0.01419
rgbd_bonn_person_tracking2,0.0358161,0.05285,0.0314481,0.04777,0.0170618,0.02197
rgbd_bonn_synchronous,0.0055086,failed,0.0050474,failed,0.0021614,failed
rgbd_bonn_synchronous2,0.0075147,0.00941,0.0063889,0.00797,0.0039552,0.005
rgbd_bonn_balloon,0.0297197,0.02906,0.0259997,0.0252,0.0143093,0.01447
rgbd_bonn_balloon2,0.027474,0.0235363,0.0247551,0.021405,0.0118973,0.0097809
rgbd_bonn_balloon_tracking,0.0341555,0.0363322,0.0279282,0.0284438,0.0195697,0.0225425
rgbd_bonn_balloon_tracking2,0.035489,0.0286,0.030682,0.02642,0.0176615,0.01092
rgbd_bonn_kidnapping_box,0.0207312,0.03204,0.0187973,0.02732,0.0087316,0.01674
rgbd_bonn_kidnapping_box2,0.0184528,0.02407,0.0162874,0.02142,0.0086334,0.01098
rgbd_bonn_moving_obstructing_box,0.1477578,0.40243,0.1241253,0.37825,0.0757749,0.13714
rgbd_bonn_moving_obstructing_box2,0.1915025,0.46741,0.1694139,0.43079,0.0886747,0.18134
rgbd_bonn_placing_nonobstructing_box,0.1631997,0.71445,0.1553123,0.69174,0.0501031,0.17867
rgbd_bonn_placing_nonobstructing_box2,0.0275189,0.01966,0.0198699,0.01673,0.0189144,0.01032
rgbd_bonn_placing_nonobstructing_box3,0.0555856,0.0751,0.0441036,0.04452,0.0336506,0.0604
rgbd_bonn_placing_obstructing_box,0.230998,0.24101,0.2094433,0.21188,0.0960787,0.11473
rgbd_bonn_removing_nonobstructing_box,0.0144566,0.01762,0.0119091,0.01507,0.0081002,0.00898
rgbd_bonn_removing_nonobstructing_box2,0.0225448,0.02171,0.0195551,0.01929,0.0111993,0.00995
rgbd_bonn_removing_obstructing_box,0.1760254,0.3096,0.158111,0.2993,0.0768117,0.07906
rgbd_bonn_static,0.092959,failed,0.0604231,failed,0.0682295,failed
rgbd_bonn_static_close_far,0.0178796,0.10081,0.0156566,0.08913,0.0086308,0.0471
